Position	Beta1
56684	1.25607
57104	1.263264
57230	-0.171893
70220	18.038484
70244	18.038484
70249	9.477236
70255	17.76591
70291	18.101254
70325	20.498697
70344	23.630714
70354	23.630714
70416	28.860258
70425	28.927968
70568	33.406194
70575	17.794075
70598	31.478947
70665	31.699795
70710	31.535908
70756	1.128971
70768	18.141181
70772	29.787862
70818	25.61224
70833	17.742732
70835	28.456375
70868	25.42986
70873	15.786368
70889	25.42986
71000	20.801183
71058	14.512023
71126	19.089707
71210	17.37794
73452	0
73978	1.315377
74060	2.229254
74180	2.229254
75355	0
77574	-0.13477
77887	2.49662
77907	2.49662
78952	1.629448
78958	0.152539
79264	6.18895
79565	7.511711
79626	6.898002
79677	6.938597
79708	3.044364
79720	7.305875
79752	3.31993
79820	7.926423
79940	5.681842
80002	7.153673
80048	5.396985
80115	5.769306
80137	5.920249
80327	4.664282
80356	3.897927
80380	3.15137
80389	4.51765
80410	4.664282
80786	2.739692
81004	1.144171
81323	6.393023
81413	6.739851
81422	6.739851
81467	6.739851
81563	6.652327
81613	7.830359
81671	3.657053
81691	8.177186
81692	8.177186
81720	9.087075
81743	3.657053
81750	8.177186
81766	8.177186
81886	10.137895
81905	10.137895
81970	4.515144
82020	9.585499
82043	5.746575
82044	9.585499
82062	5.283441
82083	9.623949
82088	9.623949
82098	9.623949
82115	9.347751
82117	9.347751
82426	2.261226
82580	1.369887
82972	0.418888
83234	2.588991
83236	2.101003
83289	2.819808
83312	3.93332
83327	3.93332
83466	3.93332
83467	3.93332
83470	3.93332
83471	3.93332
83533	2.682432
83573	0.661747
85219	4.020658
85324	3.515853
85551	4.020658
86544	0
87432	0
87933	1.842479
88269	1.870099
91510	4.34701
91556	2.735512
91558	4.283809
91564	4.508406
93134	1.779065
93292	1.549397
93360	0.094266
93778	-0.011186
94762	0
96978	4.671365
97011	6.124239
97039	6.124239
97316	6.022527
97450	1.248444
98331	31.310263
98372	-0.268017
98428	37.328171
98463	37.328171
98507	11.325812
98517	35.084999
98520	34.741661
98544	33.919398
98568	35.368288
98576	34.741661
98622	32.856296
98630	11.557569
98644	11.557569
98646	36.789346
98655	32.856296
98667	-0.306461
98679	37.519791
98690	34.587409
98710	20.485689
98729	39.671294
98732	37.717152
98753	23.092816
98768	36.345336
98779	39.671294
98926	34.852171
98927	37.564957
99081	26.637762
99213	15.202654
99716	17.224689
99790	11.75584
99834	12.921242
99835	15.446504
99862	19.429265
99868	16.642402
99874	19.503186
99909	19.503186
99910	1.247944
99922	19.354088
99924	19.503186
99973	19.354088
99975	19.354088
99991	15.446504
100012	16.642402
100064	19.503186
100082	20.730325
103969	1.196804
104435	2.561721
104639	4.177561
104856	-0.354343
104969	4.480075
105036	5.081084
105257	3.75613
106284	4.539735
106485	4.084706
106505	4.752929
106621	4.748634
108598	0.593767
109021	0.108041
109166	1.995069
109558	11.106807
109848	8.753638
109856	9.877245
109868	9.693554
109883	9.156115
109891	9.877245
109953	1.144203
109954	1.144203
110040	1.033382
110046	9.671769
110051	9.940383
110944	9.146455
111005	2.220434
111235	1.594282
111250	15.646629
111267	3.040683
111268	0.940142
111269	15.646629
111374	10.596102
111420	17.650534
111427	14.233839
111465	16.043138
111512	14.883703
111534	0.835527
111723	14.258286
111879	9.759172
112551	15.230698
112552	15.306767
112619	15.176905
112641	15.037686
112643	15.037686
112674	7.805238
112767	7.910997
112770	7.910997
112781	12.364878
112783	15.497855
112784	16.749212
112785	16.749212
112788	16.749212
112815	7.910997
112824	6.431071
112851	15.497855
112950	5.1978
113118	3.282593
113237	8.209675
114241	1.621336
114291	-0.284503
114378	3.023751
114798	3.510452
114990	2.749294
115037	2.847352
115046	0.655452
115073	0.655452
117250	0
119254	0
122121	1.76873
122139	0.571891
122154	1.836019
123261	1.819119
123263	4.948687
123270	3.324435
123271	3.324435
123324	3.208323
123533	1.841788
123619	1.819119
124473	0
125432	0
126197	9.266874
126377	-0.587872
126381	-0.018838
126384	11.845362
126434	11.565785
126498	11.565785
126608	11.565785
126610	10.925762
126612	10.925762
126625	10.925762
126711	10.512568
126857	10.397994
128580	3.834493
128603	3.834493
128844	5.053774
128846	5.053774
129110	6.093855
129389	9.681141
129416	9.681141
129460	-1.734565
129479	9.553212
129660	7.990655
129698	7.606291
129802	7.606291
129867	7.574675
129868	6.780879
129870	6.780879
130543	0.44063
130698	3.104768
130725	2.662938
130738	2.662938
131065	3.956533
131135	3.367111
131164	5.338392
131483	25.611442
131532	1.544341
131653	29.153096
131657	29.153096
131673	19.796991
131677	-0.899781
131760	29.480657
131797	30.539512
131805	30.539512
131815	31.62268
131817	31.62268
131832	31.62268
131861	18.832053
131863	31.62268
131870	31.62268
131871	31.62268
131906	32.705848
131919	33.402628
131920	31.16081
131962	34.310202
131971	5.015641
131981	34.310202
131982	34.310202
131988	33.14241
131991	33.14241
132008	6.613936
132041	4.731614
132054	35.826601
132091	36.873447
132208	2.425576
132209	30.854061
132210	30.854061
132228	4.031486
132263	29.512025
132313	29.167747
132404	20.687237
132407	6.609588
132408	6.609588
132417	18.099736
132437	6.598993
132460	15.709865
132495	2.716419
132526	10.162767
132587	9.327647
132732	0.872819
134396	0
135066	-0.193161
135238	-0.120305
135797	0
137227	0
138287	0.794479
138594	2.437743
138682	0.782219
138701	2.437743
139451	5.685818
139480	1.210958
139481	1.334565
139493	5.685818
139618	4.516685
139760	5.468247
142392	0
144174	6.350141
144220	3.271748
144273	7.941256
144279	1.191279
144290	9.465432
144476	7.941256
144755	11.220655
144756	9.196539
145187	14.956327
145219	22.017515
145227	11.02501
145260	20.307464
145490	22.380276
145634	31.499448
145661	31.776692
145693	19.681588
145708	32.409444
145712	32.511487
145713	32.511487
145756	34.445518
145956	47.260538
145962	44.621773
145996	46.687076
146000	45.938793
146014	20.034422
146020	32.944942
146057	46.687076
146093	46.687076
146164	40.422679
146194	42.329858
146216	37.305738
146249	37.305738
146251	37.305738
146255	37.305738
146274	32.5022
146319	24.565423
146372	36.118034
146388	36.118034
146395	36.118034
146397	32.277593
146417	34.561623
146423	36.118034
146426	32.5022
146429	34.119942
146436	36.118034
146448	36.118034
146471	34.843916
146642	13.081088
147536	1.080696
147838	4.757949
147898	4.668828
147978	5.82566
147993	5.664238
148155	6.434694
148210	10.037686
148367	8.083589
148404	13.183978
148411	4.505062
148429	17.374702
148525	19.504538
148589	19.504538
148626	19.129765
148629	10.296965
148646	2.54531
148648	10.296965
148726	17.298988
148786	17.589172
148806	13.603305
148816	14.076723
148905	8.753459
148957	13.162445
149459	0
